canal A	canal B	canal C	ABC	AB	AC
63	44	52	0	52	44
54	40	39	0	39	40
55	43	41	0	41	43
55	41	45	0	45	41
65	58	47	0	47	58
61	47	43	0	43	47
63	49	45	0	45	49
57	46	41	0	41	46
71	53	52	0	52	53
71	54	54	0	54	54
66	49	39	0	39	49
58	47	41	0	41	47
58	42	43	0	43	42
52	43	39	0	39	43
62	53	44	0	44	53
57	41	45	0	45	41
53	45	37	0	37	45
65	50	43	0	43	50
61	49	52	0	52	49
60	41	47	0	47	41
61	51	42	0	42	51
57	46	38	0	38	46
63	48	51	0	51	48
57	46	42	0	42	46
67	51	49	0	49	51
63	52	45	0	45	52
67	42	52	0	52	42
63	45	48	0	48	45
62	48	42	0	42	48
62	44	54	0	54	44
63	42	46	0	46	42
55	34	42	0	42	34
63	49	50	0	50	49
63	45	46	0	46	45
63	43	48	0	48	43
54	42	42	0	42	42
57	43	39	0	39	43
70	55	52	0	52	55
81	57	59	0	59	57
65	54	53	0	53	54
57	38	46	0	46	38
67	47	48	0	48	47
77	56	60	0	60	56
70	55	55	0	55	55
59	41	46	0	46	41
54	42	45	0	45	42
59	47	44	0	44	47
64	51	50	0	50	51
64	52	46	0	46	52
56	44	44	0	44	44
58	40	47	0	47	40
78	56	60	0	60	56
75	53	56	0	56	53
80	56	62	0	62	56
67	51	51	0	51	51
71	54	56	0	56	54
67	48	47	0	47	48
58	44	47	0	47	44
64	46	47	0	47	46
54	41	44	0	44	41
52	41	33	0	33	41
77	51	63	0	63	51
57	43	43	0	43	43
65	49	51	0	51	49
60	45	44	0	44	45
54	41	40	0	40	41
65	53	48	0	48	53
60	44	45	0	45	44
59	50	39	0	39	50
53	36	40	0	40	36
55	42	44	0	44	42
50	37	40	0	40	37
63	46	49	0	49	46
79	67	61	0	61	67
69	57	54	0	54	57
57	48	42	0	42	48
58	37	50	0	50	37
64	40	55	0	55	40
56	40	43	0	43	40
58	46	42	0	42	46
76	58	59	0	59	58
82	67	62	0	62	67
63	47	49	0	49	47
70	54	53	0	53	54
75	60	53	0	53	60
63	49	49	0	49	49
65	46	51	0	51	46
63	43	48	0	48	43
57	37	43	0	43	37
54	44	40	0	40	44
54	40	39	0	39	40
46	34	39	0	39	34
73	60	58	0	58	60
65	51	51	0	51	51
59	42	45	0	45	42
61	46	46	0	46	46
57	44	41	0	41	44
68	42	59	0	59	42
60	47	46	0	46	47
59	48	42	0	42	48
73	59	53	0	53	59
48	36	36	0	36	36
80	58	54	0	54	58
51	39	37	0	37	39
67	47	52	0	52	47
57	39	40	0	40	39
76	63	52	0	52	63
58	40	46	0	46	40
68	55	51	0	51	55
68	48	54	0	54	48
62	40	43	0	43	40
64	52	48	0	48	52
53	43	35	0	35	43
53	43	35	0	35	43
63	51	47	0	47	51
53	40	43	0	43	40
64	47	48	0	48	47
60	48	41	0	41	48
63	48	45	0	45	48
58	44	38	0	38	44
53	44	39	0	39	44
67	46	50	0	50	46
68	54	60	0	60	54
68	55	51	0	51	55
62	50	45	0	45	50
59	48	49	0	49	48
66	48	50	0	50	48
60	49	44	0	44	49
59	46	42	0	42	46
53	40	37	0	37	40
72	56	50	0	50	56
69	54	52	0	52	54
71	53	60	0	60	53
64	44	51	0	51	44
68	50	51	0	51	50
51	36	41	0	41	36
78	62	50	0	50	62
60	48	44	0	44	48
67	48	50	0	50	48
50	38	36	0	36	38
73	56	50	0	50	56
56	42	44	0	44	42
77	60	54	0	54	60
56	46	37	0	37	46
61	47	46	0	46	47
56	47	37	0	37	47
52	46	40	0	40	46
50	41	32	0	32	41
66	52	48	0	48	52
70	51	49	0	49	51
65	44	51	0	51	44
63	47	50	0	50	47
63	47	47	0	47	47
48	31	36	0	36	31
59	43	44	0	44	43
60	38	49	0	49	38
56	47	41	0	41	47
60	43	46	0	46	43
55	46	44	0	44	46
50	38	30	0	30	38
52	36	39	0	39	36
69	49	50	0	50	49
56	44	42	0	42	44
55	36	46	0	46	36
69	57	52	0	52	57
59	48	40	0	40	48
67	50	54	0	54	50
81	66	51	0	51	66
51	37	40	0	40	37
50	39	40	0	40	39
68	48	59	0	59	48
59	41	39	0	39	41
69	55	49	0	49	55
57	41	41	0	41	41
68	43	56	0	56	43
77	62	61	0	61	62
48	35	37	0	37	35
79	58	59	0	59	58
59	42	50	0	50	42
65	48	51	0	51	48
56	41	44	0	44	41
47	34	37	0	37	34
65	54	46	0	46	54
58	39	45	0	45	39
66	42	60	0	60	42
68	48	48	0	48	48
64	48	48	0	48	48
65	48	47	0	47	48
64	44	47	0	47	44
58	37	42	0	42	37
61	47	46	0	46	47
53	37	41	0	41	37
73	56	54	0	54	56
68	57	51	0	51	57
48	39	31	0	31	39
51	36	38	0	38	36
70	52	51	0	51	52
65	50	50	0	50	50
66	49	56	0	56	49
72	52	47	0	47	52
65	50	43	0	43	50
61	46	48	0	48	46
47	35	35	0	35	35
44	33	35	0	35	33
58	39	42	0	42	39
65	51	47	0	47	51
62	46	45	0	45	46
61	42	48	0	48	42
66	54	50	0	50	54
55	38	41	0	41	38
65	49	47	0	47	49
70	54	54	0	54	54
55	39	42	0	42	39
48	33	39	0	39	33
73	52	59	0	59	52
61	42	49	0	49	42
63	48	50	0	50	48
69	53	57	0	57	53
58	41	41	0	41	41
61	44	48	0	48	44
62	49	43	0	43	49
48	37	33	0	33	37
74	62	51	0	51	62
57	38	49	0	49	38
68	47	51	0	51	47
56	40	37	0	37	40
56	37	44	0	44	37
45	28	34	0	34	28
52	41	37	0	37	41
69	55	56	0	56	55
55	38	43	0	43	38
70	51	56	0	56	51
72	53	50	0	50	53
62	49	47	0	47	49
68	51	53	0	53	51
71	50	60	0	60	50
62	48	42	0	42	48
62	55	43	0	43	55
51	37	34	0	34	37
56	43	40	0	40	43
64	52	51	0	51	52
64	43	49	0	49	43
54	41	40	0	40	41
83	63	72	0	72	63
54	41	39	0	39	41
56	43	36	0	36	43
66	51	44	0	44	51
75	55	57	0	57	55
65	52	53	0	53	52
80	63	57	0	57	63
65	44	49	0	49	44
60	45	44	0	44	45
62	45	51	0	51	45
51	43	41	0	41	43
56	38	43	0	43	38
45	37	34	0	34	37
68	49	46	0	46	49
85	68	64	0	64	68
64	50	53	0	53	50
47	34	40	0	40	34
62	44	51	0	51	44
48	35	38	0	38	35
55	37	47	0	47	37
68	48	48	0	48	48
64	56	46	0	46	56
53	39	35	0	35	39
65	51	50	0	50	51
58	47	36	0	36	47
81	67	66	0	66	67
82	62	59	0	59	62
